mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1011.5975214298063,767.3619998577866,309.6521081651877,240.26768823559678,0.0,,,1.662508662508662,0,0,0,2,Day_2,24,24,0
idle,0.0,0.0,0.0,1011.5261766776633,767.3150786578008,309.65095795437117,240.27347646677325,0.0,,,1.662508662508662,0,0,0,2,Day_2,25,25,1
idle,0.0,0.0,0.0,1011.4548390599956,767.2681621499349,309.64980785857574,240.2792641191266,0.0,,,1.662508662508662,0,0,0,2,Day_2,26,26,2
idle,0.0,0.0,0.0,1011.3835085760896,767.2212503337199,309.64865787778984,240.2850511927147,0.0,,,1.662508662508662,0,0,0,2,Day_2,27,27,3
idle,0.0,0.0,0.0,1011.312185225232,767.1743432086865,309.64750801200205,240.29083768759543,0.0,,,1.662508662508662,0,0,0,2,Day_2,28,28,4
idle,0.0,0.0,0.0,1011.2408690067095,767.1274407743657,309.6463582612008,240.29662360382667,0.0,,,1.662508662508662,0,0,0,2,Day_2,29,29,5
idle,0.0,0.0,0.0,1011.1695599198089,767.0805430302883,309.64520862537466,240.3024089414663,0.0,,,1.662508662508662,0,0,0,2,Day_2,30,30,6
char,1.0,1.0015121629443562,-329.36020786687396,1011.4432290626362,767.0336499759852,309.6440591045121,240.22537028225815,-12689.794292023797,0.8699966572299462,0.9299957893605968,2.662508662508662,0,0,0,2,Day_2,31,31,7
char,1.0,1.0015642270466547,-329.36889158658573,1011.5380168886397,766.9867616109876,309.64290969860167,240.19072843041445,-12383.901430497048,0.869996422056677,0.929995494227989,3.662508662508662,0,0,0,2,Day_2,32,32,8
char,1.0,1.0016162941403386,-329.37757964483745,1011.569024767644,766.9398779348265,309.6417604076318,240.17120412394533,-12322.901280202614,0.8699961788006915,0.9299951890604836,4.662508662508662,0,0,0,2,Day_2,33,33,9
char,1.0,1.001668364259238,-329.3862720710542,1011.5700463860346,766.8929989470331,309.64061123159104,240.15878818979022,-12278.59464738438,0.8699959274516875,0.929994873853145,5.662508662508662,0,0,0,2,Day_2,34,34,10
char,1.0,1.0017204374265494,-329.3949688873897,1011.5545865660373,766.8461246471384,309.6394621704679,240.15027995755477,-12398.443098669793,0.8699956679996373,0.9299945486012315,6.662508662508662,0,0,0,2,Day_2,35,35,11
char,1.0,1.0017725136717073,-329.4036701204281,1011.5291003142308,766.7992550346736,309.6383132242508,240.14414957772792,-13059.672961099242,0.8699954004340611,0.9299942132996896,7.662508662508662,0,0,0,2,Day_2,36,36,12
idle,0.0,0.0,0.0,1011.4577624041995,766.7523901091702,309.63716439292836,240.14995016277015,0.0,,,7.662508662508662,0,0,0,2,Day_2,37,37,13
dis,0.662508662508662,1.001585568157924,153.62349694113348,1011.386431627959,767.1364472822703,308.7756763520002,240.1557501677539,8744.578200172771,0.8699991379133822,0.9299960209779575,7.0,0,0,0,2,Day_2,38,38,14
dis,1.0,0.9999365932025546,230.22849084020237,1011.3151079847962,767.0888066469695,309.0990771334506,240.16154959273715,15972.28803711662,0.8699984218131829,0.9299997818172862,6.0,0,0,0,2,Day_2,39,39,15
dis,1.0,0.9999047800858173,230.19123715233172,1011.2437914739977,767.0419784077093,309.2454466545338,240.1673484377779,21345.67945938315,0.869998372850734,0.9299997563365336,5.0,0,0,0,2,Day_2,40,40,16
dis,1.0,0.9998729686388822,230.15398702381364,1011.1724820948504,766.9954429129026,309.3286922532638,240.17314670293413,39301.93718777892,0.8699983230562004,0.9299997270192591,4.0,0,0,0,2,Day_2,41,41,17
dis,1.0,0.9998411588641507,230.11674045487857,1011.1011798466409,766.9490475927358,309.3822570460149,240.17894438826386,73365.65811010607,0.8699982724301056,0.9299996938650545,3.0,0,0,0,2,Day_2,42,42,18
dis,1.0,0.9998093507609074,230.07949744517424,1011.0298847286563,766.9027314761405,309.41950575642693,240.18474149382504,31151.429492991414,0.8699982209730551,0.9299996568735056,2.0,0,0,0,2,Day_2,43,43,19
dis,1.0,0.9997775443308639,230.0422579948028,1010.9585967401835,766.8564654199829,309.44682642505575,240.19053801967567,19127.24541112615,0.8699981686855903,0.9299996160442043,1.0,0,0,0,2,Day_2,44,44,20
dis,1.0,0.9997457395736677,230.00502210347915,1010.8873158805094,766.8095947734408,309.44569674241325,240.19633396587372,14184.550016185043,0.8699981155683071,0.9299995713767361,0.0,0,0,0,2,Day_2,45,45,21
idle,0.0,0.0,0.0,1010.8160421489214,766.7627288139635,309.44456717273897,240.20212933247714,0.0,,,0.0,0,0,0,2,Day_2,46,46,22
idle,0.0,0.0,0.0,1010.7447755447065,766.715867541082,309.44343771602166,240.20792411954392,0.0,,,0.0,0,0,0,2,Day_2,47,47,23
