mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1011.7204707854066,752.7856474343259,311.6336235079759,240.27950073527504,0.0,0.9998487943050736,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,24,24,0
idle,0.0,0.0,0.0,1011.6491137383281,752.7401838695826,311.6322751456251,240.28528778520152,0.0,0.9998487922146693,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,25,25,1
idle,0.0,0.0,0.0,1011.5777638269542,752.6947248511956,311.6309269181105,240.291074256423,0.0,0.9998487901242467,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,26,26,2
idle,0.0,0.0,0.0,1011.5064210505715,752.6492703787104,311.62957882541866,240.29686014899738,0.0,0.9998487880338065,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,27,27,3
idle,0.0,0.0,0.0,1011.4350854084664,752.6038204516725,311.6282308675361,240.3026454629825,0.0,0.9998487859433492,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,28,28,4
idle,0.0,0.0,0.0,1011.3637568999255,752.5583750696273,311.62688304444936,240.3084301984362,0.0,0.9998487838528726,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,29,29,5
idle,0.0,0.0,0.0,1011.2924355242355,752.5129342321204,311.6255353561449,240.3142143554164,0.0,0.99984878176238,,,1.882760016199992,0,0,0,0,0,0,,,,,2,Day_2,30,30,6
char,1.0424116539933457,1.0432307802811893,-316.18496761293886,1011.8830123749923,752.4674979386972,311.62418780260924,239.16886321366795,-12182.170466871228,0.8561983691705023,0.8672082352259405,0.9268981006185338,2.925171670193338,0,0,0,0,0,0,1.0,1.0,5.503172086064412,-1.056203294991942,2,Day_2,31,31,7
char,1.0562776990032237,1.043005379577506,-320.580516541425,1012.1477356801381,752.4220661889033,311.622840383829,238.63116031623125,-12053.468371779056,0.8557285806184547,0.8664997086882562,0.9270177111020765,3.981449369196562,0,0,0,0,0,0,1.0,1.0,5.9670722730365,-0.18151225570721863,2,Day_2,32,32,8
char,1.0592094692229068,1.0430416573983377,-321.55777076171324,1012.2869229298486,752.3766389822844,311.6214930997906,238.32006541213138,-12030.341194599041,0.8555280641389578,0.8663221730515761,0.9270157518035578,5.040658838419469,0,0,0,0,0,0,1.0,1.0,6.074706143074571,7.874597101675818e-05,2,Day_2,33,33,9
char,1.0613543416397215,1.043098469657559,-322.28872092706365,1012.3656130485064,752.3312163183862,311.6201459504806,238.11770347889976,-12014.017884855128,0.8553421212368986,0.8661853180396866,0.9270069397310332,6.10201318005919,0,0,0,0,0,0,1.0,1.0,6.156494425085057,0.13109309346500098,2,Day_2,34,34,10
char,1.0564871971529244,1.0433718615358087,-320.81318511992873,1012.4099429836651,752.2857981967543,311.61879893588554,237.9725391100821,-12075.424328573374,0.8553803686778488,0.8664576523100793,0.9269694256296951,7.158500377212114,0,0,0,0,0,0,1.0,1.0,6.006173641950219,-0.20008215108806837,2,Day_2,35,35,11
char,1.0266181865034287,1.044109237038763,-311.5481630399728,1012.4313283143855,752.2403846169346,311.6174520559919,237.8575866795234,-12351.766206629609,0.8559770934676735,0.8677513176061714,0.9265197805145059,8.185118563715543,0,0,0,0,0,0,1.0,1.0,5.055407457407068,-2.065960702137982,2,Day_2,36,36,12
idle,0.0,0.0,0.0,1012.359900181554,752.194975578473,311.6161053107863,237.86361592085547,0.0,0.9998536638302157,,,8.185118563715543,0,0,0,0,0,0,,,,,2,Day_2,37,37,13
idle,0.0,0.0,0.0,1012.2884791915359,752.1495710809152,311.6147587002552,237.8696445592634,0.0,0.9998536618866725,,,8.185118563715543,0,0,0,0,0,0,,,,,2,Day_2,38,38,14
dis,1.0947200192563138,1.0593785240511997,225.6892689852082,1012.2170653436167,752.804286858934,311.2011118953298,237.8756725948075,15657.375844156697,0.797888192695446,0.8582642638752338,0.925268270061909,7.090398544459229,0,0,0,0,0,0,1.0,1.0,11.144820362244335,0.9622655732651388,2,Day_2,39,39,15
dis,1.1718284189345505,1.0697523387157422,238.11818274352595,1012.1456586370823,752.62672637539,311.21447434427813,237.88170002754802,22080.74670944371,0.7825953463626154,0.8437106983078312,0.921371082270694,5.9185701255246785,0,0,0,0,0,0,1.0,1.0,16.143574261115322,5.346596892351162,2,Day_2,40,40,16
dis,1.2363013240867973,1.084299404414294,245.12382643826524,1012.0742590712186,752.1150298423356,311.41337361769024,237.8877268575453,41858.241755802934,0.759733953135333,0.8234809769145195,0.9144366348383143,4.682268801437881,0,0,0,0,0,0,1.0,1.0,21.5674312085542,9.03240606912656,2,Day_2,41,41,17
dis,1.2619224396778048,1.0920865673466431,246.60031621266964,1012.0028666453115,751.6150071266308,311.61759500240544,237.89375308485955,78620.94019470198,0.7470118558638912,0.8125119378276587,0.9107259809776038,3.4203463617600764,0,0,0,0,0,0,1.0,1.0,24.109121404317847,10.4142062552418,2,Day_2,42,42,18
