mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1010.1737466286021,765.7143709109922,309.6049167811023,240.07721919708328,0.0,,,0.0,0,0,0,4,Day_4,72,72,0
idle,0.0,0.0,0.0,1010.1025442539392,765.6676144739012,309.6037712894242,240.0830264751636,0.0,,,0.0,0,0,0,4,Day_4,73,73,1
idle,0.0,0.0,0.0,1010.0313489995137,765.6208627124538,309.6026259122952,240.0888331725161,0.0,,,0.0,0,0,0,4,Day_4,74,74,2
idle,0.0,0.0,0.0,1009.9601608646138,765.5741156261826,309.60148064970394,240.09463928919888,0.0,,,0.0,0,0,0,4,Day_4,75,75,3
idle,0.0,0.0,0.0,1009.8889798485274,765.52737321462,309.60033550163894,240.10044482527,0.0,,,0.0,0,0,0,4,Day_4,76,76,4
idle,0.0,0.0,0.0,1009.8178059505425,765.4806354772985,309.59919046808875,240.10624978078746,0.0,,,0.0,0,0,0,4,Day_4,77,77,5
idle,0.0,0.0,0.0,1009.7466391699475,765.4339024137507,309.59804554904196,240.1120541558094,0.0,,,0.0,0,0,0,4,Day_4,78,78,6
char,1.0,1.003339662286627,-285.5720745862241,1010.7357790814823,765.3871740235094,309.596900744487,239.925994972615,-8136.770852536333,0.8699839466541713,0.9299796948829431,1.0,0,0,0,4,Day_4,79,79,7
char,1.0,1.0033916498188156,-285.5796151239179,1010.6819957181784,765.3404503061071,309.59575605441256,239.9266246677983,-7759.203854509152,0.8699834459455376,0.929979061373042,2.0,0,0,0,4,Day_4,80,80,8
char,1.0,1.003443637258093,-285.58715742771125,1010.6282175395178,765.2937312610765,309.5946114788071,239.92725464928603,-7631.905536748887,0.8699829376416603,0.9299784182460294,3.0,0,0,0,4,Day_4,81,81,9
char,1.0,1.0034956246007238,-285.59470149415426,1010.574444544398,765.2470168879504,309.59346701765924,239.92788491707205,-8014.207148137165,0.8699824217470402,0.9299777655072295,4.0,0,0,0,4,Day_4,82,82,10
char,1.0,1.0035476118434996,-285.60224732011994,1010.5206767317691,765.2003071862616,309.59232267095746,239.92851547114148,-7910.79668773344,0.8699818982661423,0.9299771031619417,5.0,0,0,0,4,Day_4,83,83,11
char,1.0,1.0035995989824524,-285.6097949019989,1010.4669141005251,765.153602155543,309.59117843869035,239.9291463114881,-8739.345553226774,0.8699813672035179,0.9299764312155228,6.0,0,0,0,4,Day_4,84,84,12
idle,0.0,0.0,0.0,1010.395682409115,765.1069017953274,309.5900343208465,239.93496839685696,0.0,,,6.0,0,0,0,4,Day_4,85,85,13
idle,0.0,0.0,0.0,1010.3244578408741,765.0602061051479,309.5888903174144,239.94078990001728,0.0,,,6.0,0,0,0,4,Day_4,86,86,14
idle,0.0,0.0,0.0,1010.25324039509,765.0135150845374,309.5877464283826,239.9466108210273,0.0,,,6.0,0,0,0,4,Day_4,87,87,15
dis,1.0,1.000498281581007,199.2671042301327,1010.1820300710505,765.1912844992286,309.58829260614067,239.9524311599452,11357.053250544692,0.8699927286080141,0.9299990598732519,5.0,0,0,0,4,Day_4,88,88,16
dis,1.0,1.000466304472087,199.23483677399963,1010.1108268680433,765.2944501663615,309.5883953933526,239.95825091682923,11999.914218897997,0.8699926273036062,0.9299990779977011,4.0,0,0,0,4,Day_4,89,89,17
dis,1.0,1.000434329098441,199.20257241123664,1010.0396307853565,765.3549871585161,309.5882448385082,239.96407009173757,14143.382641197803,0.8699925251936639,0.9299990922706708,3.0,0,0,0,4,Day_4,90,90,18
dis,1.0,1.0004023554863668,199.17031114571202,1009.968441822278,765.3888830108864,309.5879359658808,239.9698886847284,11996.027840306235,0.8699924222772656,0.9299991026916312,2.0,0,0,0,4,Day_4,91,91,19
dis,1.0,1.0003703836131752,199.13805297375617,1009.8972599780958,765.4050196878932,309.5875215667072,239.97570669585994,11117.877497524807,0.8699923185562418,0.9299991092603647,1.0,0,0,0,4,Day_4,92,92,20
dis,1.0,1.000338413496499,199.10579789790685,1009.826085252098,765.3582941859244,309.58637781455053,239.98152412519036,10827.488771050956,0.8699922140301439,0.9299991119764119,0.0,0,0,0,4,Day_4,93,93,21
idle,0.0,0.0,0.0,1009.7549176435728,765.3115733565057,309.58523417676906,239.98734097277787,0.0,,,0.0,0,0,0,4,Day_4,94,94,22
idle,0.0,0.0,0.0,1009.6837571518084,765.26485719917,309.5840906533514,239.99315723868062,0.0,,,0.0,0,0,0,4,Day_4,95,95,23
