mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
char,1.0,1.0016794512333653,-285.3327046929518,1011.3189106547009,766.8831485609757,309.6459705183421,240.2331775016032,-10675.064027538949,0.8699958784199422,0.9299948054726839,6.0,0,0,0,2,Day_2,33,33,9
char,1.0,1.0017315250656562,-285.34023906392406,1011.3355925706734,766.8362752461195,309.64482092129026,240.21466205126174,-10636.682306231318,0.8699956174137662,0.9299944780831365,7.0,0,0,0,2,Day_2,34,34,10
char,1.0,1.001783601982912,-285.34777726625373,1011.3346361553394,766.7894066185949,309.6436714391981,240.20092593829577,-10740.504603690655,0.8699953482918454,0.9299941406428871,8.0,0,0,0,2,Day_2,35,35,11
idle,0.0,0.0,0.0,1011.2633176917238,766.742542677933,309.6425220720542,240.20672084570197,0.0,,,8.0,0,0,0,2,Day_2,36,36,12
idle,0.0,0.0,0.0,1011.1920063599547,766.6956834236652,309.641372819847,240.21251517361742,0.0,,,8.0,0,0,0,2,Day_2,37,37,13
dis,1.0,0.9997046143309322,199.30072391632635,1011.1207021593187,766.7663893054848,309.64092075748863,240.21830892210008,11344.623708866477,0.8699986670677081,0.9299996026023576,7.0,0,0,0,2,Day_2,38,38,14
dis,1.0,0.9996728315590331,199.26846745797957,1011.0494050891028,766.7786707455057,309.6403002693926,240.2241020912079,13824.411337355974,0.8699986213254849,0.9299995523722532,6.0,0,0,0,2,Day_2,39,39,15
dis,1.0,0.9996410504511628,199.23621408105504,1010.9781151485939,766.7675852698749,309.6396124448544,240.2298946809988,18475.21397897905,0.8699985747503745,0.929999498305405,5.0,0,0,0,2,Day_2,40,40,16
dis,1.0,0.9996092710079911,199.20396378547167,1010.9068323370791,766.7448187202785,309.63889098030336,240.2356866915307,34016.7979425146,0.8699985273429512,0.9299994404013956,4.0,0,0,0,2,Day_2,41,41,17
dis,1.0,0.9995774932294554,199.17171657102713,1010.8355566538454,766.7153793142985,309.6381503170633,240.24147812286157,63499.78725697327,0.8699984791038087,0.9299993786598025,3.0,0,0,0,2,Day_2,42,42,18
dis,1.0,0.9995457171164844,199.1394724376816,1010.76428809818,766.6817711604451,309.6373976757945,240.2472689750493,26962.329559121954,0.8699984300335153,0.9299993130802088,2.0,0,0,0,2,Day_2,43,43,19
dis,1.0,0.9995139426729363,199.10723138587556,1010.6930266693702,766.645385429779,309.6366370679764,240.25305924815183,16555.101271582724,0.8699983801325627,0.9299992436622196,1.0,0,0,0,2,Day_2,44,44,20
dis,1.0,0.9994821698950512,199.07499341480136,1010.6217723667032,766.598535891236,309.63548840426955,240.25884894222702,12277.076279636784,0.8699983294016391,0.9299991704053862,0.0,0,0,0,2,Day_2,45,45,21
idle,0.0,0.0,0.0,1010.5505251894665,766.5516910376468,309.6343398554291,240.2646380573328,0.0,,,0.0,0,0,0,2,Day_2,46,46,22
idle,0.0,0.0,0.0,1010.4792851369475,766.504850868543,309.63319142144354,240.27042659352708,0.0,,,0.0,0,0,0,2,Day_2,47,47,23
idle,0.0,0.0,0.0,1010.4080522084338,766.4580153834562,309.6320431023014,240.27621455086773,0.0,,,0.0,0,0,0,3,Day_3,48,48,0
idle,0.0,0.0,0.0,1010.336826403213,766.4111845819178,309.63089489799114,240.28200192941267,0.0,,,0.0,0,0,0,3,Day_3,49,49,1
idle,0.0,0.0,0.0,1010.2656077205727,766.3643584634597,309.62974680850135,240.28778872921976,0.0,,,0.0,0,0,0,3,Day_3,50,50,2
idle,0.0,0.0,0.0,1010.1943961598006,766.3175370276133,309.6285988338205,240.29357495034685,0.0,,,0.0,0,0,0,3,Day_3,51,51,3
idle,0.0,0.0,0.0,1010.1231917201846,766.2707202739106,309.6274509739371,240.29936059285183,0.0,,,0.0,0,0,0,3,Day_3,52,52,4
idle,0.0,0.0,0.0,1010.0519944010126,766.2239082018832,309.6263032288397,240.30514565679255,0.0,,,0.0,0,0,0,3,Day_3,53,53,5
idle,0.0,0.0,0.0,1009.9808042015725,766.177100811063,309.62515559851676,240.31093014222688,0.0,,,0.0,0,0,0,3,Day_3,54,54,6
char,1.0,1.0025167585035166,-285.4542993433988,1011.3152535529679,766.1302981009819,309.6240080829569,239.99922011771065,-9534.598924975542,0.8699906890730271,0.9299883232566211,1.0,0,0,0,3,Day_3,55,55,7
char,1.0,1.0025688852972543,-285.461898080839,1011.2614378554744,766.0835000711718,309.6228606821486,239.99983272192804,-9362.493694685932,0.8699902961299045,0.9299878336360162,2.0,0,0,0,3,Day_3,56,56,8
char,1.0,1.002621015627749,-285.4695010198545,1011.2076279887029,766.0367067211647,309.6217133960804,240.00044552229883,-9490.5563132905,0.8699898948772747,0.9299873338662397,3.0,0,0,0,3,Day_3,57,57,9
char,1.0,1.0026731495312937,-285.4771081893049,1011.1538239575935,765.9899180504926,309.6205662247408,240.0010585182021,-9534.455811981024,0.8699894853008727,0.9299868239396555,4.0,0,0,0,3,Day_3,58,58,10
char,1.0,1.0027252870224321,-285.4847196047874,1011.1000257649291,765.9431340586876,309.6194191681183,240.00167170937505,-9730.161424053988,0.8699890673877889,0.9299863038495767,5.0,0,0,0,3,Day_3,59,59,11
idle,0.0,0.0,0.0,1011.0287307623527,765.8963547452818,309.6182722262015,240.00748654220413,0.0,,,5.0,0,0,0,3,Day_3,60,60,12
idle,0.0,0.0,0.0,1010.9574428892764,765.8495801098072,309.6171253989789,240.01330079354992,0.0,,,5.0,0,0,0,3,Day_3,61,61,13
idle,0.0,0.0,0.0,1010.8861621449875,765.8028101517963,309.61597868643895,240.01911446347057,0.0,,,5.0,0,0,0,3,Day_3,62,62,14
idle,0.0,0.0,0.0,1010.8148885287729,765.7560448707811,309.61483208857027,240.02492755202425,0.0,,,5.0,0,0,0,3,Day_3,63,63,15
dis,1.0,1.0003101107301335,199.3798289666381,1010.7436220399201,765.8511540759965,309.61365514114163,240.03074005926908,11334.743276753376,0.8699956685192263,0.9299994853202601,4.0,0,0,0,3,Day_3,64,64,16
dis,1.0,1.0002781989534293,199.34755588991797,1010.672362677716,765.905920825879,309.61258996180686,240.03655198526317,14260.385221376491,0.8699955895655757,0.9299994907497724,3.0,0,0,0,3,Day_3,65,65,17
dis,1.0,1.0002462888922596,199.31528590391554,1010.6011104414482,765.9354753264489,309.6115946585793,240.04236333006466,22771.77141452235,0.8699955097943948,0.9299994923347831,2.0,0,0,0,3,Day_3,66,66,18
dis,1.0,1.0002143805474224,199.28301900857454,1010.529865330404,765.9482232474714,309.6106459581315,240.04817409373166,14798.786884029596,0.8699954292062148,0.9299994900749106,1.0,0,0,0,3,Day_3,67,67,19
dis,1.0,1.000182473916709,199.25075520336503,1010.4586273438711,765.9014434251467,309.60949989353566,240.0539842763223,11983.442529833485,0.8699953478016991,0.9299994839697814,0.0,0,0,0,3,Day_3,68,68,20
idle,0.0,0.0,0.0,1010.3873964811366,765.8546682808042,309.60835394354626,240.0597938778947,0.0,,,0.0,0,0,0,3,Day_3,69,69,21
idle,0.0,0.0,0.0,1010.3161727414886,765.8078978139761,309.6072081081519,240.0656028985069,0.0,,,0.0,0,0,0,3,Day_3,70,70,22
