mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1013.0785,768.3985190132544,309.67382656557436,240.2214801237557,0.0,0.9998519662490114,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,0,0,0
idle,0.0,0.0,0.0,1013.0070071499999,768.351494161353,309.6726741829178,240.22727297574335,0.0,0.9998519642372768,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,1,1,1
idle,0.0,0.0,0.0,1012.9355214492849,768.3044740119368,309.67152191549945,240.2330652484458,0.0,0.9998519622255028,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,2,2,2
idle,0.0,0.0,0.0,1012.8640428971399,768.2574585645356,309.6703697633079,240.23885694192097,0.0,0.9998519602136898,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,3,3,3
idle,0.0,0.0,0.0,1012.7925714928502,768.2104478186791,309.66921772633157,240.2446480562268,0.0,0.999851958201837,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,4,4,4
idle,0.0,0.0,0.0,1012.721107235701,768.1634417738973,309.6680658045589,240.2504385914212,0.0,0.9998519561899454,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,5,5,5
idle,0.0,0.0,0.0,1012.6496501249774,768.1164404297199,309.66691399797844,240.25622854756207,0.0,0.9998519541780139,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,6,6,6
idle,0.0,0.0,0.0,1012.5782001599649,768.0694437856769,309.66576230657864,240.26201792470732,0.0,0.9998519521660438,,,5.0,0,0,0,0,0,0,,,,,1,Day_1,7,7,7
char,1.0164537616884062,1.0011216860377423,-290.32567108370847,1012.6033550537121,768.0224518412983,309.664610730348,240.24966894435045,-10339.652643461772,0.8572429268562761,0.8698706597868406,0.9299113602674963,6.016453761688406,0,0,0,0,0,0,1.0,1.0,0.7161040752343917,1.0156037007406944,1,Day_1,8,8,8
char,1.012423702052251,1.001241065860415,-289.1934193413288,1012.6106437808121,767.9754645961142,309.66345926927494,240.23881812066332,-10382.058214024672,0.8572332444938464,0.8699238880718282,0.9299532297545917,7.028877463740657,0,0,0,0,0,0,1.0,1.0,0.5764146685275584,0.7246050227410379,1,Day_1,9,9,9
