mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1011.2924462310267,752.5148671024921,311.6252454977523,240.3141503421711,0.0,0.999848781887594,,,1.8828199025195989,0,0,0,0,0,0,,,,,2,Day_2,30,30,6
char,1.0424439210609497,1.043224846555937,-316.192729479844,1011.8830235267017,752.4694306157818,311.62389797320253,239.16897606342766,-12182.469520891706,0.8561978903297992,0.8672072100273581,0.9268993028653886,2.925263823580549,0,0,0,0,0,0,1.0,1.0,5.50375419599094,-1.0537631851792568,2,Day_2,31,31,7
char,1.0563522728421275,1.0429979682120352,-320.6016151837412,1012.1477575399293,752.4239986727202,311.6225505834052,238.63139599425173,-12054.261657099665,0.8557265304814908,0.86649595486044,0.9270188309177927,3.9816160964226763,0,0,0,0,0,0,1.0,1.0,5.969083682770426,-0.17619476800661715,2,Day_2,32,32,8
char,1.0591250231158287,1.0430390306529336,-321.5288795911623,1012.2869238330741,752.3785712728529,311.62120332834684,238.32028263201775,-12029.26029819148,0.8555310907105627,0.8663275125032183,0.9270160906388996,5.040741119538505,0,0,0,0,0,0,1.0,1.0,6.071463100454322,-0.0050392810788792985,2,Day_2,33,33,9
char,1.061311222830075,1.0430946272868535,-322.2728120359908,1012.3656101293494,752.3331484157256,311.61985620801397,238.11792126528425,-12013.424846099915,0.8553438447531474,0.866188325321385,0.9270074911912288,6.10205234236858,0,0,0,0,0,0,1.0,1.0,6.154618615618324,0.12868285883256547,2,Day_2,34,34,10
char,1.0564329691741932,1.0433682087033818,-320.79381133102044,1012.4099362087414,752.2877301008841,311.6185092223932,237.97275283814213,-12074.695098190177,0.855382347078056,0.8664611241453248,0.926969798629008,7.158485311542774,0,0,0,0,0,0,1.0,1.0,6.003935240761282,-0.2031744656778507,2,Day_2,35,35,11
char,1.0266080528282355,1.0441040672879518,-311.54273054705624,1012.431321877218,752.242316327874,311.61716237147095,237.8578155384516,-12351.550827788116,0.8559776217343319,0.86775204224469,0.926520397587152,8.18509336437101,0,0,0,0,0,0,1.0,1.0,5.05461095276547,-2.0661550232468286,2,Day_2,36,36,12
idle,0.0,0.0,0.0,1012.3598937450303,752.1969070962413,311.6158156552338,237.86384475689778,0.0,0.9998536638334553,,,8.18509336437101,0,0,0,0,0,0,,,,,2,Day_2,37,37,13
idle,0.0,0.0,0.0,1012.2884727556558,752.1515024055317,311.61446907366826,237.8698733724221,0.0,0.9998536618899098,,,8.18509336437101,0,0,0,0,0,0,,,,,2,Day_2,38,38,14
dis,1.0947583185593772,1.0593347403262316,225.69388494840834,1012.2170589083802,752.8088439414831,311.20082259442097,237.87590138508486,15657.696080342637,0.7979010045490824,0.8582720286212199,0.9252736080539108,7.090335045811633,0,0,0,0,0,0,1.0,1.0,11.139651284815756,0.968420399142552,2,Day_2,39,39,15
